student, g2clouds
init, 1
compile, 1
ICMP-Traffic-1-r1, 1
ICMP-Traffic-1-r2, 1
ICMP-Traffic-2-r1, 1
ICMP-Traffic-2-r2, 1
TCP-Traffic-1-r1, 1
TCP-Traffic-1-r2, 1
TCP-Traffic-2-r1, 1
TCP-Traffic-2-r2, 1
ICMPIndep-r1, 1
ICMPIndep-r2, 1
TCPEndpointIndependent-r1, 0
TCPEndpointIndependent-r2, 1
TCPEndpointIndependentFiltering-r1, 0
TCPEndpointIndependentFiltering-r2, 0
TCPSimultaneousOpen-r1, 0
TCPSimultaneousOpen-r2, 0
TCPUnsolicitedSyn-r1, 0
TCPUnsolicitedSyn-r2, 1
TCPUnsolicitedSyn2-r1, 0
TCPUnsolicitedSyn2-r2, 1
TCPUnsolicitedSyn3-r1, 0
TCPUnsolicitedSyn3-r2, 0
total_fscore, 14
scaled_score, 43.0
